fid,x,y,fid2,x2,y2,length
"90",14.39116062,41.53317858,"91",14.41201231,41.52184652,2147.715
"91",14.41201231,41.52184652,"92",14.432864,41.51051446,2147.959
"92",14.432864,41.51051446,"93",14.45371568,41.49918239,2148.204
"93",14.45371568,41.49918239,"94",14.47456737,41.48785033,2148.448
"94",14.47456737,41.48785033,"95",14.47457328,41.48784495,0.775
"95",14.47457328,41.48784495,"96",14.48440874,41.47958958,1231.013
"96",14.48440874,41.47958958,"97",14.52157574,41.47324695,3183.347
"97",14.52157574,41.47324695,"98",14.53493799,41.47086258,1147.16
"98",14.53493799,41.47086258,"99",14.54422112,41.45807258,1618.41
"99",14.54422112,41.45807258,"100",14.58614812,41.45325558,3543.746
"100",14.58614812,41.45325558,"101",14.58712287,41.46367795,1160.399
"101",14.58712287,41.46367795,"102",14.59897424,41.46780783,1091.152
"102",14.59897424,41.46780783,"103",14.58630199,41.4813712,1841.094
"103",14.58630199,41.4813712,"104",14.59590612,41.49341195,1559.372
"104",14.59590612,41.49341195,"105",14.59621099,41.49348245,26.635
"105",14.59621099,41.49348245,"106",14.59787649,41.4938862,146.127
"106",14.59787649,41.4938862,"107",14.59904249,41.49421845,104.123
"107",14.59904249,41.49421845,"108",14.59945299,41.4943717,38.271
"108",14.59945299,41.4943717,"109",14.60397374,41.50633383,1381.138
"109",14.60397374,41.50633383,"110",14.58860349,41.5100152,1346.76
"110",14.58860349,41.5100152,"111",14.59737549,41.52327233,1644.416
"111",14.59737549,41.52327233,"112",14.63184412,41.53474358,3146.216
"112",14.63184412,41.53474358,"113",14.66216862,41.55575233,3441.86
"113",14.66216862,41.55575233,"114",14.66240712,41.5559242,27.573
"114",14.66240712,41.5559242,"115",14.66266037,41.5564407,61.132
"115",14.66266037,41.5564407,"116",14.66403637,41.55812783,219.746
"116",14.66403637,41.55812783,"117",14.66474724,41.55902408,115.867
"117",14.66474724,41.55902408,"118",14.66505037,41.55946458,55.073
"118",14.66505037,41.55946458,"119",14.66521862,41.55968358,28.082
